Year,State,Fires (Wildland),Acres (Wildland),Fires (Rx),Acres (Rx),Fires (WFU),Acres (WFU),Fires (Human),Acres (Human),Fires (Lightning),Acres (Lightning),Fires (Total),Acres (Total)
2008,Kansas,68,"64,772",82,"15,723",0,0,,,,,,
2008,Kentucky,"1,552","38,474",24,"17,395",0,0,,,,,,
2008,Louisiana,"1,359","17,332",0,0,0,0,,,,,,
2008,Maine,442,535,24,281,0,0,,,,,,
2008,Maryland,564,"2,421",26,547,0,0,,,,,,
2008,Massachusetts,"1,833","2,918",7,693,0,0,,,,,,
2008,Michigan,412,"2,675",242,"17,492",0,0,,,,,,
2008,Minnesota,"1,136","19,712",597,"108,402",0,0,,,,,,
2008,Mississippi,"1,898","27,399",29,"13,412",0,0,,,,,,
2008,Missouri,"1,051","9,765",323,"31,949",0,0,,,,,,
2008,Montana,"1,421","166,840",294,"36,638",26,"7,931",,,,,,
2008,Nebraska,15,374,15,"4,994",0,0,,,,,,
2008,Nevada,452,"71,930",20,"8,399",19,"10,539",,,,,,
2008,New Hampshire,274,195,15,147,0,0,,,,,,
2008,New Jersey,"1,237","3,322",157,"18,701",2,1,,,,,,
2008,New Mexico,"1,207","487,652",106,"71,930",9,"2,207",,,,,,
2008,New York,156,"3,629",29,412,0,0,,,,,,
2008,North Carolina,"4,414","95,938",182,"57,597",0,0,,,,,,
2008,North Dakota,936,"38,620",121,"20,281",0,0,,,,,,
2008,Ohio,348,"1,078",213,"6,767",0,0,,,,,,
2008,Oklahoma,"5,572","196,563",23,"8,426",0,0,,,,,,
2008,Oregon,"1,766","136,572",781,"112,450",14,"3,649",,,,,,
2008,Pennsylvania,733,"7,694",6,118,0,0,,,,,,
2008,Rhode Island,119,132,7,108,0,0,,,,,,
2008,South Carolina,"2,626","15,751",170,"90,986",0,0,,,,,,
2008,South Dakota,957,"8,936",176,"35,524",0,0,,,,,,
2008,Tennessee,"1,437","23,431",22,"19,252",0,0,,,,,,
2008,Texas,"16,713","1,570,586",35,"15,315",0,0,,,,,,
2008,Utah,999,"28,490",119,"34,620",21,"3,060",,,,,,
2008,Vermont,124,168,16,312,0,0,,,,,,
2008,Virginia,"1,221","40,653",22,"19,875",6,"1,934",,,,,,
2008,Washington,"1,303","147,264",83,"6,292",32,812,,,,,,
2008,West Virginia,885,"10,296",4,723,0,0,,,,,,
2008,Wisconsin,895,"1,050",625,"33,849",0,0,,,,,,
2008,Wyoming,296,36941,45,10625,7,53948,,,,,,
2009,Alabama,28,840,127,"90,359",,,,,,,,
2009,Alaska,527,"2,951,597",1,290,,,,,,,,
2009,Arizona,"2,371","263,358","2,097","147,531",,,,,,,,
2009,Arkansas,"1,125","19,229",262,"195,285",,,,,,,,
2009,California,"9,159","405,585",841,"93,940",,,,,,,,
2009,Colorado,"1,190","50,456",225,"25,674",,,,,,,,
2009,Connecticut,264,246,6,76,,,,,,,,
2009,Delaware,19,44,6,92,,,,,,,,
2009,Florida,"2,939","156,102",432,"402,967",,,,,,,,
2009,Georgia,"3,732","13,714",176,"100,167",,,,,,,,
